Real_AT_mean,Real_AT_max,Predicted_AT_mean,Predicted_AT_max
29.47364333,33.54257,28.825901,33.269295
30.52924792,34.49373,28.551523,32.957058
31.307239580000005,35.48773,29.223719,33.780464
30.18435667,34.5381,29.47988,34.121403
30.20048542,34.5534,29.109985,33.70852
27.92473625,30.5774,29.147589,33.75422
28.905922500000003,32.5501,27.441313,31.730001
27.35242542,31.5714,28.273298,32.70293
24.86806292,26.5861,27.295786,31.519377
26.44176875,30.5621,25.607244,29.497808
26.39193708,29.5528,27.089848,31.21614
27.98226083,32.5348,26.746792,30.765749
28.44817167,32.5501,27.602018,31.744198
28.46022042,32.5501,27.970028,32.153404
28.826659169999996,32.5501,28.014517,32.18626
28.736048329999996,32.5501,28.115164,32.296566
28.855963329999998,33.5441,28.004353,32.171722
28.78097125,33.5441,28.105976,32.309334
25.03940333,28.5894,28.208872,32.44904
26.09111917,31.55457,25.895296,29.730314
26.64585583,32.5654,26.66369,30.66162
26.30553375,31.5561,27.171137,31.256573
25.62440042,28.5894,26.717745,30.708523
24.25777792,25.5921,26.466938,30.39233
27.93723125,33.5594,25.326115,29.024807
27.42888375,32.5654,28.076237,32.238426
27.67394125,32.5501,27.09064,31.041534
29.12358833,33.5594,27.374563,31.371132
28.302395,33.5594,28.340244,32.513412
27.86090042,33.56093,27.695715,31.760683
28.758934579999995,33.5594,27.57759,31.635078
29.399309580000004,34.58247,28.079592,32.24257
25.28917833,28.6047,28.657244,32.92398
28.39746833,33.5594,25.287949,28.96386
28.787091250000003,33.5747,28.41351,32.67767
30.171436249999996,34.5687,27.751678,31.900871
30.348259169999995,33.57623,29.033815,33.40913
31.27770125,35.5627,28.851858,33.17495
31.567617919999996,35.5627,29.091557,33.448967
27.80369458,31.60353,29.27464,33.66487
27.5919575,29.61247,27.017208,30.992918
24.95676125,27.5954,27.331572,31.36485
24.79428208,30.5927,25.1717,28.818495
24.9589925,29.5987,25.72786,29.487274
27.52280958,32.5654,25.838682,29.607489
27.57588833,32.5807,27.625532,31.684742
25.80217958,29.5834,27.24082,31.190037
27.76277333,31.5867,26.034653,29.739529
27.50954958,32.5654,27.556055,31.522943
26.39117208,32.56693,26.957624,30.81408
27.05403,31.5714,26.354881,30.124285
28.10710542,31.5714,27.007797,30.923513
28.814695,33.56093,27.819206,31.887829
28.51185792,32.58223,28.06659,32.170296
26.05036083,27.6107,27.958178,32.01761
27.83975625,31.5867,25.789694,29.449053
27.66822458,31.5867,27.85926,31.889277
26.41284708,29.5834,27.124146,31.002556
25.41610583,28.5741,26.225918,29.94508
25.06858,29.5681,25.763632,29.419802
25.87995583,30.5468,25.555016,29.203823
26.4293375,30.5621,26.095108,29.8742
27.18204125,31.56987,26.531445,30.408543
27.59161792,31.5714,26.968678,30.92955
26.07437375,29.5681,27.079569,31.070707
27.26685083,30.5621,25.850422,29.633795
27.39269458,30.5774,26.933594,30.926065
25.98835292,29.5834,26.740152,30.697292
26.59653417,31.5561,25.644867,29.406847
24.70749625,28.5894,26.287903,30.174994
24.86321792,29.5681,24.808727,28.429348
25.28541708,29.5834,25.209677,28.908222
26.72199542,31.5561,25.563803,29.31319
27.66501625,32.5501,26.38875,30.26574
28.63124208,33.5594,26.83582,30.776003
26.37417167,31.58823,27.584753,31.64196
23.66143333,25.5921,25.822006,29.54851
23.99844042,25.59057,23.8882,27.290556
25.24980167,28.5741,24.860365,28.464912
25.20781125,29.5834,25.761211,29.516043
26.43284375,31.5561,25.395523,29.057938
27.42327375,31.5714,26.193779,29.980955
25.89780583,30.5621,26.72157,30.588522
26.39790875,31.54233,25.494839,29.14157
25.45255,29.56657,25.765993,29.498426
25.35824167,29.5681,25.651087,29.383022
23.91726458,25.59057,25.295778,28.976242
23.69908875,29.5681,24.268559,27.772537
23.78880708,27.5954,24.243145,27.75298
24.88914333,29.5681,24.40108,27.934412
26.57753667,30.5621,25.006634,28.639095
27.00496333,31.5561,26.034477,29.839104
27.21357667,31.5561,26.21824,30.041801
27.13845708,31.5561,26.240488,30.063139
24.90896958,29.56657,26.19234,30.01202
26.32897292,30.5621,24.188923,27.670164
26.83508917,31.5561,25.750963,29.547709
26.91938875,31.5561,25.925072,29.763159
27.52652917,31.5408,25.80499,29.62368
23.97476833,26.5555,25.75436,29.596783
21.4440375,22.5795,23.393389,26.874706
21.10014542,21.5702,22.327368,25.679146
22.43015458,26.49583,22.14238,25.498255
21.74475,24.5369,22.616058,26.108007
20.4079625,22.533599999999996,22.571283,26.103062
18.92015,19.5516,21.726921,25.138376
18.94416292,21.52583,20.389555,23.583216
18.78795333,21.4784,20.449846,23.672901
16.72313333,18.527,19.775984,22.937845
19.46239167,21.5549,18.95147,22.024103
23.72985917,28.5588,21.424055,24.91519
19.99118208,23.5888,24.57681,28.49983
17.37041542,18.4964,19.479446,22.425695
18.314775,21.4937,18.066404,20.85566
18.78935583,22.503,19.391302,22.539787
19.79451208,24.5063,20.018652,23.372458
20.61266625,25.5156,20.660583,24.184244
22.23002,26.52643,21.460308,25.130453
20.13338875,22.533599999999996,22.376265,26.178612
19.04695,19.5516,20.674446,24.149689
17.61710833,19.5516,20.208513,23.569471
18.24792083,19.5516,18.622644,21.681477
18.75065833,19.5516,19.724642,22.946663
19.42225,20.5609,19.519728,22.652328
20.75842083,24.5675,20.115355,23.292677
23.70416792,27.5648,21.13548,24.419193
23.96637417,27.5648,23.434467,27.031057
23.86022917,27.5801,22.623243,25.991947
24.072285,28.5741,22.855629,26.207445
