Real_AT_mean,Real_AT_max,Predicted_AT_mean,Predicted_AT_max
26.785367453946535,30.430547567221232,27.19244,30.451298
25.86776902038637,27.519693597521552,27.157555,30.419792
24.902703029578156,26.288136183707973,26.676235,29.866236
26.681958413936336,30.12711051086522,26.0252,29.113491
29.395728660732544,33.13315755908386,27.201942,30.545998
25.22925709894553,28.49989926564317,28.6659,32.289925
26.206245910493426,29.47712863029827,25.71454,28.72023
27.428872983525554,30.899072201149792,26.784742,30.030901
24.624578035260416,25.807706335913345,27.4334,30.81522
26.198169160960088,28.681356512281557,25.447319,28.426342
26.65600371772355,29.643704359604072,26.809536,30.079859
27.32950231828202,30.61051666212636,26.890648,30.179655
29.078969504081208,32.362684020532555,27.39896,30.784986
29.63079651082939,32.56051093623679,28.343668,31.906591
29.06282857387469,32.08603369537519,28.50316,32.077835
24.91595312194984,27.671387809494767,28.168098,31.65939
28.125243138901656,32.065199571109574,25.377516,28.335463
29.74131449814127,33.5050009627602,27.994745,31.533426
24.30762029061869,26.264325755975833,28.58199,32.238464
25.54870222101123,28.493946658710136,24.906874,27.825678
25.468357039378976,29.652633270003623,26.306265,29.56556
26.777092116422807,30.887166987283724,26.07214,29.312786
26.756534488759065,29.46819971989872,26.923655,30.348154
27.19592675702227,30.13455126953151,26.892752,30.298279
29.726321104866578,34.257616680512406,27.210777,30.65127
24.916337729070474,28.004587900515954,28.444782,32.10283
27.48537880810852,30.897584049416533,25.266632,28.272247
29.011124053869594,32.08900999884171,27.280203,30.735304
28.386644007901857,33.05135784616422,28.145992,31.77985
28.632666876506725,32.08156924017542,27.738398,31.270725
28.916560977633992,32.86245984085954,27.846132,31.392263
28.775094685971155,33.839689205514645,28.06163,31.642462
25.187930686767498,27.732402030558372,27.967302,31.519428
29.168532687748556,33.908095552834965,25.89934,29.053291
28.60093678905434,33.72812645792983,28.148771,31.80069
29.909876738518648,35.43564926433825,27.662315,31.238295
30.548580963519807,34.96266017520993,28.48467,32.23934
30.581836910594582,35.457971540337134,28.75021,32.543808
31.0233382335912,35.55316461885611,28.767845,32.531906
30.727155557893845,34.89723013135613,28.973667,32.737057
28.381458096203357,31.922434269535913,28.92638,32.619747
26.74020125499223,30.345771550835074,27.535536,30.890661
26.352135184043565,28.902993855717934,26.64154,29.795261
28.546558872495016,32.17080971176135,26.562931,29.69241
28.530417942288505,32.090498150574966,27.97363,31.363707
24.90673511991475,27.060097873992543,27.89053,31.213129
25.556009756303293,26.75814896936979,25.388983,28.184973
26.379429720748497,28.69921433308066,26.240572,29.232544
24.747781773123172,26.57817987446466,26.787735,29.893024
27.713145407343383,31.86439635193882,25.468166,28.309683
28.081032173318864,31.40033617321004,27.610525,30.894571
28.85947195794,32.83567310966088,27.527552,30.789051
29.156045525188073,34.01668199695327,27.988829,31.346247
29.696154583617037,32.57539245356938,28.021961,31.400305
28.167921960431986,31.42265844920892,28.411879,31.885195
26.527620352592375,30.14496833166432,27.496042,30.791258
26.779598347137014,30.631350786391984,26.457895,29.577219
26.182028230753573,29.576786164017015,26.718658,29.94212
27.064249093645397,31.37354944201138,26.374851,29.57175
26.56335739266105,30.894607745950015,26.838375,30.171062
26.617754162510593,30.594146993060516,26.513988,29.819181
27.654133352046212,31.556494840383028,26.58239,29.938383
28.054506850855198,32.05924696417654,27.119097,30.60881
27.918995685132124,32.050318053776984,27.394238,30.941826
27.811355966794938,31.086482054721213,27.296043,30.824406
28.42622711917688,32.34631435146671,27.088566,30.592354
27.10884466634883,31.874813414071635,27.37616,30.95917
25.43567800298515,30.1241342073987,26.636385,30.082306
27.192632458776576,31.913456726726775,25.5248,28.773317
24.886927853202046,27.991194534916627,26.478539,29.94845
25.728796390577582,30.586706234394224,25.206713,28.429302
24.64301403933059,28.00012344531618,25.835531,29.179276
26.018235872803675,32.47568628744104,24.972023,28.124722
26.498172770143498,32.75084846086514,25.625801,28.915724
27.872470792395443,33.29080437799012,25.84473,29.199396
27.841907095165116,33.49904835582716,26.9192,30.493633
25.040118377614178,27.23113805849812,26.774168,30.305126
26.952577284971618,30.119669752198924,25.159126,28.352543
26.49474272820816,28.682844664014816,26.409449,29.844435
27.346027855609172,30.90651295981608,26.018667,29.33423
27.055024807180235,30.418642353355164,26.57631,29.958673
25.678245691934382,30.14348017993106,26.249714,29.523825
24.323178025714185,27.982265624517076,25.348461,28.425154
26.15663787636159,31.05523086832278,24.442627,27.368525
27.0035000218753,31.543101474783704,25.759348,28.991133
25.413953985099347,28.18902145062086,26.127365,29.456059
24.355857062108004,29.43099592656725,25.18208,28.342339
23.79365194753276,27.217744692898798,24.537693,27.605804
24.342402097315855,27.980777472783817,24.181627,27.216055
26.254277809562264,30.954085182870777,24.582567,27.717125
26.858770854117136,30.96450224500359,25.634634,28.980232
27.28547108739939,31.376525745477903,25.916613,29.306263
27.420405342441512,31.577328964648654,26.113964,29.536098
25.968864133242686,27.720496816692304,26.22518,29.666227
25.129188861963588,29.92333098822795,25.469944,28.764164
25.22078317343141,29.616917628405414,24.785925,27.968912
26.208342396366685,30.872285469951134,24.788332,28.01031
26.614472433125044,31.529708109184376,25.42452,28.79604
26.599671343410677,31.83165701380713,25.551775,28.952557
27.2599266790023,31.8435622276732,25.483313,28.871464
22.482987550455665,23.830925330604263,25.791746,29.246653
21.021440271690256,21.50015874241796,22.706747,25.5699
23.796319059656895,29.17066663806615,21.819645,24.58609
23.062276259748796,25.911779692422286,23.828533,27.03426
20.385806619224102,21.29489106804743,23.18731,26.284952
20.197251093003782,21.101528607542967,21.410849,24.197992
20.142463431603524,21.63250698185881,21.38158,24.20746
19.993875623778862,23.53636855223822,21.235971,24.063217
20.983934792998273,23.45754514278509,21.00917,23.836065
23.23315242728006,26.186941865846382,21.796135,24.821327
22.918142855961815,24.397619346518308,23.41941,26.762386
19.148942798298403,23.926118409123234,23.147226,26.387312
16.321174246814376,17.084024704804275,19.722366,22.313288
18.5968983502696,21.28293722177178,17.690277,20.053968
19.564669159782408,21.78717749729854,19.803026,22.728836
20.32523728215417,22.688559755967034,20.608084,23.768612
20.82594296400828,22.773335772353196,21.095287,24.385202
21.199406533232963,23.569107890369906,21.357527,24.69802
21.006242005995098,23.790745233806284,21.519352,24.864967
22.30172070623718,26.015901681340807,21.27673,24.536276
19.666366321039984,20.692481410535176,22.189514,25.572334
19.85991545539848,21.349904049768416,19.964401,22.880121
19.722493822932382,21.174399410063064,20.347446,23.353651
20.179180842764016,21.384131539633366,20.23328,23.220552
20.189174343470448,21.671198926923537,20.561655,23.59882
21.460627667532993,23.31329168947817,20.397047,23.374796
